"Ratio,O/F","pc,Pa",Nozzleinl,Nozzleexi,"rho,kg/m^","Tc,K",M,gamma,k,"c*,m/s","Isopt,s","Isvac,s",Cfopt,Cfvac,c.factor,_1
1.1,4601325,0,1,0,1232.5207,20.061,1.261,1.16,1117.1987,179.2029,197.7226,1.573,1.7356,1,
1.1,4701325,0,1,0,1234.0112,20.0756,1.2611,1.16,1117.4625,179.6388,198.0738,1.5765,1.7383,1,
1.1,4801325,0,1,0,1235.4727,20.09,1.2612,1.16,1117.7202,180.0637,198.4164,1.5798,1.7409,1,
1.1,4901325,0,1,0,1236.9064,20.1042,1.2613,1.16,1117.9721,180.4782,198.7509,1.5831,1.7434,1,
1.1,5001325,0,1,0,1238.3133,20.1181,1.2614,1.16,1118.2185,180.8828,199.0776,1.5863,1.7459,1,
1.1,5101325,0,1,0,1239.6945,20.1317,1.2615,1.16,1118.4597,181.2778,199.3968,1.5894,1.7483,1,
1.1,5201325,0,1,0,1241.0508,20.1452,1.2616,1.16,1118.6957,181.6636,199.7088,1.5925,1.7507,1,
1.1,5301325,0,1,0,1242.3831,20.1584,1.2617,1.16,1118.9269,182.0408,200.014,1.5955,1.753,1,
1.1,5401325,0,1,0,1243.6924,20.1714,1.2618,1.1599,1119.1534,182.4095,200.3127,1.5984,1.7553,1,
1.1,5501325,0,1,0,1244.9795,20.1843,1.2619,1.1599,1119.3754,182.7702,200.605,1.6012,1.7575,1,
1.1,5601325,0,1,0,1246.245,20.1969,1.2619,1.1599,1119.5929,183.1232,200.8912,1.604,1.7596,1,
1.1,5701325,0,1,0,1247.4897,20.2093,1.262,1.1599,1119.8064,183.4688,201.1716,1.6067,1.7618,1,
1.1,5801325,0,1,0,1248.7144,20.2216,1.2621,1.1599,1120.0157,183.8072,201.4463,1.6094,1.7638,1,
1.1,5901325,0,1,0,1249.9196,20.2336,1.2621,1.1599,1120.2212,184.1388,201.7157,1.612,1.7659,1,
1.1,6001325,0,1,0,1251.1059,20.2455,1.2622,1.1599,1120.4228,184.4637,201.9798,1.6145,1.7679,1,
1.1,6101325,0,1,0,1252.2741,20.2573,1.2623,1.1598,1120.6209,184.7823,202.2388,1.617,1.7698,1,
1.1,6201325,0,1,0,1253.4245,20.2688,1.2623,1.1598,1120.8154,185.0947,202.493,1.6195,1.7717,1,
1.1,6301325,0,1,0,1254.5579,20.2802,1.2624,1.1598,1121.0065,185.4012,202.7426,1.6219,1.7736,1,
1.1,6401325,0,1,0,1255.6746,20.2915,1.2624,1.1598,1121.1943,185.7020,202.9875,1.6243,1.7755,1,
1.1,6501325,0,1,0,1256.7752,20.3026,1.2625,1.1598,1121.3789,185.9972,203.2281,1.6266,1.7773,1,
1.1,6601325,0,1,0,1257.8601,20.3136,1.2625,1.1598,1121.5605,186.2871,203.4645,1.6288,1.779,1,
1.1,6701325,0,1,0,1258.9298,20.3244,1.2626,1.1598,1121.739,186.5719,203.6968,1.6311,1.7808,1,
1.1,6801325,0,1,0,1259.9848,20.3351,1.2626,1.1597,1121.9146,186.8516,203.9251,1.6333,1.7825,1,
1.1,6901325,0,1,0,1261.0253,20.3457,1.2626,1.1597,1122.0874,187.1265,204.1495,1.6354,1.7842,1,
1.1,7001325,0,1,0,1262.0519,20.3561,1.2627,1.1597,1122.2575,187.3968,204.3702,1.6375,1.7859,1,
1.1,7101325,0,1,0,1263.0649,20.3664,1.2627,1.1597,1122.4249,187.6625,204.5873,1.6396,1.7875,1,
1.1,7201325,0,1,0,1264.0647,20.3766,1.2627,1.1597,1122.5898,187.9238,204.8009,1.6417,1.7891,1,
1.1,7301325,0,1,0,1265.0515,20.3866,1.2628,1.1597,1122.7521,188.1808,205.0111,1.6437,1.7907,1,
1.1,7401325,0,1,0,1266.0259,20.3966,1.2628,1.1596,1122.9121,188.4337,205.218,1.6456,1.7922,1,
1.1,7501325,0,1,0,1266.9879,20.4064,1.2628,1.1596,1123.0696,188.6826,205.4217,1.6476,1.7937,1,
1.1,7601325,0,1,0,1267.9381,20.4161,1.2629,1.1596,1123.2248,188.9275,205.6223,1.6495,1.7952,1,
1.1,7701325,0,1,0,1268.8766,20.4257,1.2629,1.1596,1123.3778,189.1687,205.8199,1.6514,1.7967,1,
1.1,7801325,0,1,0,1269.8038,20.4352,1.2629,1.1596,1123.5287,189.4063,206.0145,1.6532,1.7982,1,
1.1,7901325,0,1,0,1270.72,20.4446,1.2629,1.1595,1123.6774,189.6402,206.2063,1.655,1.7996,1,
1.1,8001325,0,1,0,1271.6253,20.4539,1.2629,1.1595,1123.824,189.8707,206.3952,1.6568,1.801,1,
1.1,8101325,0,1,0,1272.5201,20.4631,1.263,1.1595,1123.9686,190.0977,206.5815,1.6586,1.8024,1,
1.1,8201325,0,1,0,1273.4046,20.4722,1.263,1.1595,1124.1113,190.3215,206.7651,1.6603,1.8038,1,
1.1,8301325,0,1,0,1274.279,20.4812,1.263,1.1595,1124.252,190.5421,206.9462,1.6621,1.8052,1,
1.1,8401325,0,1,0,1275.1436,20.4901,1.263,1.1595,1124.3909,190.7596,207.1247,1.6638,1.8065,1,
1.1,8501325,0,1,0,1275.9986,20.499,1.263,1.1594,1124.5279,190.9740,207.3009,1.6654,1.8078,1,
1.1,8601325,0,1,0,1276.8442,20.5077,1.263,1.1594,1124.6632,191.1855,207.4746,1.6671,1.8091,1,
1.1,8701325,0,1,0,1277.6806,20.5164,1.263,1.1594,1124.7967,191.3941,207.646,1.6687,1.8104,1,
1.1,8801325,0,1,0,1278.508,20.5249,1.2631,1.1594,1124.9285,191.5999,207.8152,1.6703,1.8116,1,
1.1,8901325,0,1,0,1279.3267,20.5334,1.2631,1.1594,1125.0587,191.8029,207.9822,1.6719,1.8129,1,
1.1,9001325,0,1,0,1280.1367,20.5418,1.2631,1.1593,1125.1873,192.0032,208.147,1.6734,1.8141,1,
1.1,9101325,0,1,0,1280.9383,20.5501,1.2631,1.1593,1125.3143,192.2010,208.3097,1.675,1.8153,1,
1.1,9201325,0,1,0,1281.7317,20.5584,1.2631,1.1593,1125.4397,192.3962,208.4704,1.6765,1.8165,1,
1.1,9301325,0,1,0,1282.517,20.5665,1.2631,1.1593,1125.5636,192.5889,208.629,1.678,1.8177,1,
1.1,9401325,0,1,0,1283.2943,20.5746,1.2631,1.1593,1125.6861,192.7791,208.7857,1.6794,1.8189,1,
1.1,9500000,0,1,0,1284.0538,20.5825,1.2631,1.1593,1125.8055,192.9646,208.9384,1.6809,1.82,1,
1.2,101325,0,1,0,1038.7368,18.0868,1.2125,1.1659,1079.9586,-86347773.7673,0,0,0,1,
1.2,201325,0,1,0,1070.3595,18.3051,1.2213,1.1654,1089.5042,81.3948,138.0121,0.7326,1.2423,1,
1.2,301325,0,1,0,1090.4646,18.4506,1.227,1.1655,1095.1479,101.7666,145.2508,0.9113,1.3007,1,
1.2,401325,0,1,0,1105.4538,18.5623,1.2312,1.1656,1099.1651,113.7693,151.591,1.015,1.3525,1,
1.2,501325,0,1,0,1117.4955,18.6541,1.2345,1.1657,1102.2828,122.1327,156.6161,1.0866,1.3934,1,
1.2,601325,0,1,0,1127.6039,18.7324,1.2371,1.1658,1104.8285,128.4788,160.6925,1.1404,1.4263,1,
1.2,701325,0,1,0,1136.3392,18.8011,1.2394,1.166,1106.9781,133.5530,164.091,1.1831,1.4537,1,
1.2,801325,0,1,0,1144.0456,18.8625,1.2413,1.1661,1108.8371,137.7572,166.9896,1.2183,1.4769,1,
1.2,901325,0,1,0,1150.9504,18.918,1.243,1.1661,1110.4737,141.3315,169.5074,1.2481,1.4969,1,
1.2,1001325,0,1,0,1157.2119,18.9689,1.2445,1.1662,1111.9347,144.4304,171.7271,1.2738,1.5145,1,
1.2,1101325,0,1,0,1162.9449,19.0158,1.2458,1.1663,1113.2535,147.1588,173.7076,1.2963,1.5302,1,
1.2,1201325,0,1,0,1168.2356,19.0595,1.247,1.1663,1114.4549,149.5908,175.4926,1.3163,1.5442,1,
1.2,1301325,0,1,0,1173.1503,19.1003,1.2481,1.1664,1115.5577,151.7810,177.115,1.3343,1.557,1,
1.2,1401325,0,1,0,1177.7411,19.1387,1.249,1.1664,1116.5765,153.7701,178.6004,1.3505,1.5686,1,
1.2,1501325,0,1,0,1182.05,19.1749,1.2499,1.1665,1117.5228,155.5900,179.9686,1.3654,1.5793,1,
1.2,1601325,0,1,0,1186.1111,19.2093,1.2508,1.1665,1118.4061,157.2654,181.2358,1.379,1.5892,1,
1.2,1701325,0,1,0,1189.9525,19.242,1.2515,1.1665,1119.2341,158.8161,182.4151,1.3915,1.5983,1,
1.2,1801325,0,1,0,1193.5977,19.2731,1.2522,1.1666,1120.013,160.2583,183.5171,1.4032,1.6068,1,
1.2,1901325,0,1,0,1197.0667,19.3029,1.2529,1.1666,1120.7482,161.6053,184.5508,1.4141,1.6148,1,
1.2,2001325,0,1,0,1200.3764,19.3314,1.2535,1.1666,1121.4443,162.8681,185.5236,1.4242,1.6223,1,
1.2,2101325,0,1,0,1203.5413,19.3588,1.2541,1.1666,1122.105,164.0558,186.4419,1.4338,1.6294,1,
1.2,2201325,0,1,0,1206.5742,19.3852,1.2546,1.1666,1122.7336,165.1765,187.3111,1.4428,1.6361,1,
1.2,2301325,0,1,0,1209.486,19.4106,1.2551,1.1666,1123.3331,166.2367,188.1359,1.4512,1.6424,1,
